,product,category,brand,mrp,sp,discount,sku,description,url
228,fruits-vegetables,Organic Vegetables,Fresho,21.25,17.00,20,40036723,Banana Flower - Organically Grown,/pd/40036723/fresho-banana-flower-organically-grown-1-pc/
229,fruits-vegetables,Apples & Pomegranate,Fresho,497.50,398.00,20,1203784,Apple - Fuji Premium,/pd/1203784/fresho-apple-fuji-premium-2x4-pcs/
230,fruits-vegetables,Apples & Pomegranate,Fresho,248.75,199.00,20,40104703,"Apple - Fuji, Premium",/pd/40104703/fresho-apple-fuji-premium-4-pcs/
231,fruits-vegetables,Apples & Pomegranate,Fresho,248.75,199.00,20,40104703,"Apple - Fuji, Premium",/pd/40104703/fresho-apple-fuji-premium-4-pcs/
232,fruits-vegetables,Exotic Vegetables,Fresho,33.75,27.00,20,10000210,Zucchini - Yellow,/pd/10000210/fresho-zucchini-yellow-250-g/
233,fruits-vegetables,Marigold,Fresho,16.25,13.00,20,20001185,Marigold - Orange,/pd/20001185/fresho-marigold-orange-100-g/
234,fruits-vegetables,Fresh Salads & Sprouts,Fresho,38.75,31.00,20,10000355,Sprouts - Mixed Gram,/pd/10000355/fresho-sprouts-mixed-gram-200-g/
235,fruits-vegetables,Leafy Vegetables,Fresho,18.75,15.00,20,10000001,Amaranthus - Green,/pd/10000001/fresho-amaranthus-green-250-g/
236,fruits-vegetables,Organic Vegetables,Fresho,20.00,16.00,20,40036724,Banana Stem - Organically Grown,/pd/40036724/fresho-banana-stem-organically-grown-1-pc/
237,fruits-vegetables,Cut & Peeled Veggies,Fresho,51.25,41.00,20,10000017,Baby Corn - Peeled,/pd/10000017/fresho-baby-corn-peeled-250-g/
238,fruits-vegetables,Exotic Vegetables,Fresho,75.00,60.00,20,40020768,Mushrooms - Oyster,/pd/40020768/fresho-mushrooms-oyster-200-g/
239,fruits-vegetables,Apples & Pomegranate,Fresho,422.50,338.00,20,1203780,"Apple - Red Delicious / Washington, Premium",/pd/1203780/fresho-apple-red-delicious-washington-premium-2x4-pcs/
240,fruits-vegetables,Apples & Pomegranate,Fresho,211.25,169.00,20,40104709,"Apple - Red Delicious/Washington, Premium",/pd/40104709/fresho-apple-red-deliciouswashington-premium-4-pcs/
241,fruits-vegetables,Apples & Pomegranate,Fresho,211.25,169.00,20,40104709,"Apple - Red Delicious/Washington, Premium",/pd/40104709/fresho-apple-red-deliciouswashington-premium-4-pcs/
